SEASON,NAME,AGE,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS
2022,Jason Day,36,"$1,086,460",385,19,57,11,2,0,70.3,301.6,61.2,64.7,1.738,47.1,3.912
2022,Rickie Fowler,34,"$1,072,929",340,22,71,13,1,0,71,309.4,57.9,62.2,1.769,49.6,3.451
2022,Pat Perez,47,"$1,071,981",345,19,62,12,2,0,70.5,287.2,59.1,64.2,1.743,56,3.774
2023,Matti Schmid,26,"$1,064,025",206,30,79,11,2,0,70.6,314.1,59.9,68.6,1.766,47.2,3.987
2022,Webb Simpson,38,"$1,041,955",346,20,59,12,1,0,70.2,300.6,64.6,64.6,1.735,52.9,3.78
2022,Vince Whaley,28,"$1,039,817",438,29,85,16,2,0,70.1,302,51.6,63.8,1.706,51.2,4.141
2023,Nico Echavarria,29,"$1,035,131",417,31,78,8,1,1,70.8,299.4,59.7,65.7,1.774,47.1,3.41
2022,Callum Tarren,33,"$1,034,362",405,26,69,11,3,0,70.4,312.4,51.8,66.9,1.77,46.6,3.739
2022,Scott Piercy,45,"$1,030,752",410,28,77,13,1,0,70.5,295.8,56.7,62.6,1.738,50,3.675
2022,Stewart Cink,50,"$1,026,158",376,25,77,13,2,0,70.7,306.2,59.8,68.3,1.772,51,3.662
2022,Charles Howell III,44,"$1,026,002",400,16,54,11,1,0,69.7,304.1,61.8,71,1.758,60,4.185
2023,Kramer Hickok,31,"$1,017,832",236,34,97,16,0,0,70.4,296.7,63.4,68.6,1.79,52.9,3.454
2022,Nick Watney,42,"$1,012,572",387,30,76,10,1,0,71.7,301.2,53.7,66.8,1.806,46.6,3.263
2022,Max McGreevy,28,"$999,625",404,28,72,9,2,0,71,289.8,63.6,63.6,1.756,42.1,3.625
2023,Charley Hoffman,46,"$994,186",246,31,81,12,0,0,70.3,306.1,55.7,68.4,1.797,52,3.679
2022,Patton Kizzire,37,"$985,293",351,29,90,17,1,0,70.5,303.7,55.9,65.6,1.767,51.9,3.722
2022,Nate Lashley,40,"$976,895",427,25,76,13,1,0,70,295.2,63.6,67.7,1.733,45.1,4.039
2023,Austin Smotherman,29,"$957,049",293,35,100,17,1,0,70.4,300.4,62.6,66.4,1.758,45.7,3.94
2022,Matthias Schwab,28,"$955,840",353,23,70,14,3,0,70.2,293.8,59.4,68.7,1.771,58.3,3.657
2022,Cameron Champ,28,"$940,458",288,19,56,8,2,0,71.3,321.4,57.8,67.2,1.793,39.3,3.732
2022,Erik van Rooyen,33,"$927,524",269,17,48,9,1,0,71,299.4,61.4,65,1.763,36.7,3.625
2022,Kevin Tway,35,"$927,182",361,30,77,11,1,0,70.8,310.2,50.8,64.8,1.772,55.2,3.403
2022,Tom Kim,21,"$2,824,580",1154,11,0,10,3,1,0,0,0,0,0,0,0
2022,Matt Wallace,33,"$918,351",316,21,56,8,2,0,71,303.7,59,66,1.792,45.7,3.571
2022,Danny Willett,36,"$914,293",304,21,62,11,1,0,70.9,297.2,61.5,64.5,1.792,50.7,3.468
2023,Webb Simpson,38,"$908,929",252,19,57,9,2,0,71,299.6,62.2,63.5,1.742,48.3,3.491
2022,Tyler Duncan,34,"$890,879",436,27,82,15,0,0,69.9,295.1,68.9,67.7,1.754,51,3.817
2023,Adam Long,36,"$884,088",222,38,113,19,0,0,70.4,290.9,67.3,66.3,1.741,50,3.69
2022,Greyson Sigg,28,"$884,085",415,30,90,18,1,0,70.2,294.9,62.9,68.1,1.765,47.3,3.667
2022,Kramer Hickok,31,"$881,229",328,31,91,14,1,0,70.7,294.5,65.8,65.9,1.785,54.3,3.374
2023,Scott Piercy,45,"$861,981",280,36,99,17,0,0,70.2,293.3,60.3,65.2,1.738,47.9,3.99
2022,Doc Redman,25,"$849,809",304,28,79,13,1,0,70.7,294.8,60.2,67.3,1.777,47.3,3.608
2023,Matthias Schwab,28,"$847,328",204,37,103,16,2,0,71,294,61.5,65.6,1.782,48.1,3.359
2023,Harrison Endycott,27,"$840,303",282,33,89,13,1,0,70.7,293.2,62.4,66.2,1.779,49,3.674
2022,Harry Higgs,31,"$834,333",272,30,80,13,1,0,71.2,301.8,55.5,61.4,1.775,50,3.15
2022,Nick Taylor,35,"$832,637",334,28,88,16,0,0,70.7,296.1,58.3,65.2,1.773,52.3,3.489
2023,MJ Daffue,34,"$830,919",330,35,103,19,0,0,70.5,310.5,58.5,67,1.779,51.5,4.029
2022,Nick Hardy,27,"$820,728",288,21,59,11,1,0,70.3,305.7,57.7,68.7,1.759,44.6,3.797
2022,Francesco Molinari,41,"$816,460",272,17,53,10,1,0,71,295.4,61.2,63.4,1.762,51.3,3.717
2023,Kevin Tway,35,"$815,058",207,38,101,14,0,0,70.3,308.1,52.6,67.9,1.787,46.4,3.396
2023,Zach Johnson,47,"$807,499",196,22,68,13,0,0,71,290.1,65.9,65.8,1.784,41.3,3.162
2022,Austin Smotherman,29,"$770,827",315,25,77,16,1,0,70.5,304.6,63.1,68.5,1.776,41.9,3.753
2023,Paul Haley II,35,"$755,188",259,35,92,13,1,0,71.2,284.1,65.8,64.8,1.772,52.8,3.424
2023,Stewart Cink,50,"$743,246",156,27,80,13,1,0,70.5,305.5,52.7,66,1.754,42,3.738
2022,Martin Trainer,32,"$726,985",270,31,78,11,2,0,71.2,305.5,54.1,63.5,1.762,39.3,3.564
2023,Kelly Kraft,35,"$722,098",103,32,90,15,0,0,70.5,287.3,66.7,67,1.752,47.8,3.667
2023,Harry Higgs,31,"$718,748",274,31,84,13,1,0,70.9,301.6,53.9,64.7,1.728,51.1,3.833
2022,Brian Stuard,40,"$705,260",285,34,89,12,2,0,70.8,277.4,71.3,65,1.777,45,3.292
2022,Justin Lower,34,"$700,545",311,24,72,14,2,0,70.4,294.2,60.3,67.4,1.749,44,3.875
2023,Satoshi Kodaira,34,"$699,577",120,20,63,12,0,0,70.1,287.1,71,69.1,1.778,54.3,3.968
2023,Russell Knox,38,"$692,454",219,37,114,23,0,0,70.4,285.3,62.7,71.7,1.799,48.1,3.535
2023,Dylan Frittelli,33,"$683,295",180,35,78,7,0,0,71.8,303.2,47,59.6,1.768,38.9,3.372
2022,Kelly Kraft,35,"$680,946",289,27,69,11,0,0,70.6,289.3,66.6,63.4,1.744,46,3.681
2022,Garrick Higgo,24,"$667,305",229,22,58,8,1,0,72,305,57,63.8,1.785,36.7,3.552
